county_fips_full,hurricane_count_5yr,severe_storm_count_5yr,flood_count_5yr,fire_count_5yr,coastal_storm_count_5yr,tropical_storm_count_5yr,tornado_count_5yr,climate_event_count_5yr
09011,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
09013,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
09015,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12001,6.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
12003,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
12005,8.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0
12007,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0
12009,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12011,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12013,9.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
12015,4.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
12017,7.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
12019,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0
12021,4.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0
12023,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
12027,4.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
12029,7.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
12031,6.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
12033,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
12035,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12037,9.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
12039,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12041,7.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
12043,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
12045,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12047,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
12049,4.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
12051,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
12053,6.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
12055,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
12057,6.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0
12059,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12061,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12063,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12065,8.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0
12067,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
12069,4.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
12071,4.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
12073,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
12075,7.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
12077,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12079,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
12081,7.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
12083,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0
12085,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
12086,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0
