NAME,B25077_001E,B19013_001E,B01003_001E,state,county
"Valley County, Nebraska",125800,62321,4053,31,175
"Washington County, Nebraska",265800,89671,20884,31,177
"Wayne County, Nebraska",176200,64951,9701,31,179
"Webster County, Nebraska",92800,62571,3410,31,181
"Wheeler County, Nebraska",101400,59167,771,31,183
"York County, Nebraska",160500,72914,14212,31,185
"Churchill County, Nevada",255200,69922,25409,32,001
"Clark County, Nevada",368800,69911,2265926,32,003
"Douglas County, Nevada",529600,84262,49476,32,005
"Elko County, Nevada",274200,87755,53600,32,007
"Esmeralda County, Nevada",95500,40694,980,32,009
"Eureka County, Nevada",177400,73929,1622,32,011
"Humboldt County, Nevada",242200,75574,17266,32,013
"Lander County, Nevada",198000,92388,5728,32,015
"Lincoln County, Nevada",171800,67412,4507,32,017
"Lyon County, Nevada",314200,70026,59435,32,019
"Mineral County, Nevada",153400,46625,4568,32,021
"Nye County, Nevada",235500,53602,51698,32,023
"Pershing County, Nevada",164400,66304,6587,32,027
"Storey County, Nevada",297800,86932,4095,32,029
"Washoe County, Nevada",460000,81531,486674,32,031
"White Pine County, Nevada",197600,71297,8997,32,033
"Carson City, Nevada",390800,67465,58249,32,510
"Belknap County, New Hampshire",295900,80719,63914,33,001
"Carroll County, New Hampshire",315800,77049,50679,33,003
"Cheshire County, New Hampshire",238800,76551,76610,33,005
"Coos County, New Hampshire",157900,55247,31430,33,007
"Grafton County, New Hampshire",273100,79949,90836,33,009
"Hillsborough County, New Hampshire",356200,95112,422733,33,011
"Merrimack County, New Hampshire",297600,88806,153918,33,013
"Rockingham County, New Hampshire",424100,110225,315169,33,015
"Strafford County, New Hampshire",300200,83212,130965,33,017
"Sullivan County, New Hampshire",211400,70788,43356,33,019
"Atlantic County, New Jersey",254100,73113,274339,34,001
"Bergen County, New Jersey",561500,118714,953243,34,003
"Burlington County, New Jersey",304600,102615,461853,34,005
"Camden County, New Jersey",241300,82005,522581,34,007
"Cape May County, New Jersey",372300,83870,95456,34,009
"Cumberland County, New Jersey",192900,62310,153588,34,011
"Essex County, New Jersey",466500,73785,853374,34,013
"Gloucester County, New Jersey",265200,99668,302621,34,015
"Hudson County, New Jersey",486900,86854,712029,34,017
"Hunterdon County, New Jersey",478600,133534,129099,34,019
"Mercer County, New Jersey",327600,92697,383732,34,021
"Middlesex County, New Jersey",411900,105206,860147,34,023
"Monmouth County, New Jersey",519300,118527,643064,34,025
"Morris County, New Jersey",531800,130808,508816,34,027
"Ocean County, New Jersey",343500,82379,638691,34,029
"Passaic County, New Jersey",413500,84465,519986,34,031
"Salem County, New Jersey",208200,73378,64840,34,033
"Somerset County, New Jersey",489500,131948,344978,34,035
"Sussex County, New Jersey",322300,111094,144808,34,037
"Union County, New Jersey",458000,95000,572079,34,039
"Warren County, New Jersey",302300,92620,109739,34,041
"Bernalillo County, New Mexico",247300,62220,674692,35,001
"Catron County, New Mexico",156400,44777,3635,35,003
"Chaves County, New Mexico",133200,49673,64701,35,005
"Cibola County, New Mexico",101900,49866,27211,35,006
"Colfax County, New Mexico",138400,46286,12370,35,007
"Curry County, New Mexico",151300,55427,48327,35,009
"De Baca County, New Mexico",219200,34702,1695,35,011
"Doña Ana County, New Mexico",187400,51232,219870,35,013
"Eddy County, New Mexico",188400,77458,61264,35,015
